id,image,price,title,description,category
11,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,109.00,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,"Se aplican flash 3D NAND para ofrecer altas velocidades de transferencia Velocidades de transferencia notables que permiten un arranque más rápido y un rendimiento general mejorado del sistema. La avanzada tecnología de caché SLC permite aumentar el rendimiento y prolongar la vida útil del diseño delgado de 7 mm adecuado para Ultrabooks y portátiles ultradelgados. Admite el comando TRIM, la tecnología de recolección de basura, RAID y ECC (verificación y corrección de errores) para proporcionar un rendimiento optimizado y una confiabilidad mejorada.",electronicos
12,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,114.00,La unidad para juegos WD de 4 TB funciona con el disco duro externo portátil Playstation 4,"Amplíe su experiencia de juego de PS4, juegue en cualquier lugar Rápido y fácil, configuración Diseño elegante con alta capacidad, garantía limitada del fabricante de 3 años",electronicos
13,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,599.00,"Acer SB220Q bi 21,5 pulgadas Full HD (1920 x 1080) IPS ultradelgado",21. Pantalla IPS de pantalla ancha Full HD (1920 x 1080) de 5 pulgadas y tecnología Radeon free Sync. Sin compatibilidad para el montaje VESA Frecuencia de actualización: 75 Hz - Utilizando el puerto HDMI Diseño de marco cero | ultrafino | Tiempo de respuesta de 4 ms | Panel IPS Relación de aspecto: 16: 9. Color admitido: 16. 7 millones de colores. Brillo: 250 nits Ángulo de inclinación de -5 grados a 15 grados. Ángulo de visión horizontal: 178 grados. Ángulo de visión vertical-178 grados 75 hercios,electronicos
14,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,999.99,Monitor curvo para juegos Samsung CHG90 144Hz de 49 pulgadas (LC49HG90DMNXZA) - Pantalla súper ultra ancha QLED,"49 PULGADAS SUPER ULTRAWIDE 32: 9 CURVED GAMING MONITOR con pantalla dual de 27 pulgadas lado a lado TECNOLOGÍA QUANTUM DOT (QLED), compatibilidad con HDR y calibración de fábrica proporciona un color y contraste increíblemente realistas y precisos. elimine el desenfoque de movimiento, las imágenes fantasma y reduzca el retraso de entrada",electronicos
15,https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_.jpg,56.99,BIYLACLESEN Chaqueta de snowboard 3 en 1 para mujer Abrigos de invierno,"Nota: Las chaquetas son de tamaño estándar de EE. UU., Elija el tamaño como su ropa habitual Material: 100% poliéster; Tejido de forro desmontable: forro polar cálido. Forro funcional desmontable: agradable para la piel, ligero y cálido. Bolsillos con cremallera: 2 bolsillos con cremallera para las manos, 2 bolsillos con cremallera en el pecho (suficientes para guardar tarjetas o llaves) y 1 bolsillo oculto en el interior. Los bolsillos para las manos con cremallera y el bolsillo oculto mantienen sus cosas seguras. Diseño humanizado: capucha ajustable y desmontable y puño ajustable para evitar el viento y el agua, para un ajuste cómodo. El diseño desmontable 3 en 1 proporciona más comodidad, puede separar el abrigo y el interior según sea necesario, o usarlo juntos. Es adecuado para diferentes estaciones y lo ayuda a adaptarse a diferentes climas.",damas
16,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_.jpg,29.95,Lock and Love Chaqueta motera de motociclista de piel sintética con capucha y desmontable para mujer,"100% POLIURETANO (exterior) 100% POLIÉSTER (forro) 75% POLIÉSTER 25% ALGODÓN (SUÉTER), Material de piel sintética para mayor estilo y comodidad / 2 bolsillos en la parte delantera, Chaqueta de piel sintética estilo denim con capucha 2-For-One, Detalle de botón en cintura / Detalle de costuras a los lados, LAVAR A MANO SOLAMENTE / NO USAR LEJÍA / SECAR LINEAS / NO PLANCHAR",damas
17,https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2.jpg,39.99,Chaqueta de lluvia Mujer Cortavientos Impermeables de escalada a rayas,"Perfet ligero para viajes o ropa casual --- Manga larga con capucha, diseño de cintura con cordón ajustable. Chubasquero con cierre frontal con botones y cremallera, totalmente forrado a rayas y el chubasquero tiene 2 bolsillos laterales son de buen tamaño para guardar todo tipo de cosas, cubre las caderas y la capucha es generosa pero no exagera. Los cordones ajustables le dan un aspecto de estilo real.",damas
18,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_.jpg,9.85,MBJ Mujer Sólido Manga Corta Cuello Barco V,"95% RAYON 5% SPANDEX, fabricado en EE. UU. O importado, no usar lejía, tejido ligero con gran elasticidad para mayor comodidad, mangas y escote acanalados / doble costura en el dobladillo inferior",damas
19,https://fakestoreapi.com/img/51eg55uWmdL._AC_UX679_.jpg,7.95,Humedad de manga corta para mujer Opna,"100% poliéster, lavado a máquina, interbloqueo 100% poliéster catiónico, lavado a máquina y preencogido para un gran ajuste, ligero, espacioso y altamente transpirable con tejido que absorbe la humedad que ayuda a mantener la humedad alejada, tejido suave y ligero con cómodo cuello en V y un ajuste más delgado, brinda una silueta elegante y más femenina y mayor comodidad",damas
20,https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_.jpg,12.99,DANVOUY Camiseta para mujer Corta de algodón informal,"95% algodón, 5% elastano, características: informal, manga corta, estampado de letras, cuello en V, camisetas de moda, la tela es suave y tiene algo de estiramiento, ocasión: informal / oficina / playa / escuela / hogar / calle. Temporada: primavera, verano, otoño, invierno.",damas
21,https://osterla.vteximg.com.br/arquivos/ids/157869-700-700/BVSTDC05-1.jpg?v=637449510405930000/,25.00,"Cafereta oster 12 tazas, electrica",Prepare delicioso cafe gurmet fácil y rapidamente con esta cafetera,electronicos
22,https://buketomnisportpweb.s3.us-east-2.amazonaws.com/products-images/094114600.1521148461.jpg,60.00,Licuadora BLBD210GP2,Haga sus deliciosos licuados yupi!,electronicos
23,https://buketomnisportpweb.s3.us-east-2.amazonaws.com/products-images/073399800.1492708431.jpg,249.00,Equipo de sonido CJ44,Escuche sus listas de reproducción con la mejor calidad y fidelidad,electronicos
24,https://buketomnisportpweb.s3.us-east-2.amazonaws.com/seo/NyOsFx6MBmDswbXNdIxYtqnzupPFLM2ESG3Pq0Rq.jpeg,119.00,Barra de sonido HW-T400,Experiencia de sonido potente en unidad compacta. Déjate envolver en los potentes graves que buscas sin un woofer,electronicos
25,https://www.officedepot.com.sv/medias/33313-3.jpg-1200ftw?context=bWFzdGVyfHJvb3R8Mzc2NTczfGltYWdlL2pwZWd8aDVkL2gzNy8xMDU4OTAyMTg2Mzk2Ni8zMzMxMy0zLmpwZ18xMjAwZnR3fDkwNmFhOGFhZDBiZjE3OWJhMTcwZDM4YjE3NDhiOTUxMjkwODg1OWM0ZWUxNjlhMmRmMmFhMDJjNjRhMjg4ZTI,540.00,Laptop HP 15 Pulgadas Cel - 4Gb- 1Tb ,Conenctate al mundo de la manera más eficiente,electronicos
26,https://www.lg.com/cac/images/lavadoras-y-secadoras/md07528390/gallery/D-12.jpg,590.00,Torre de lavado WK22BS6E,"La torre de lavado LG es una lavadora y secadora integrada, primear en su clase
que hace las cosas que necesitas en la vida",electronicos
